post_id,caption,likes_count,comments_count,shares_count,created_at
ig_001,"Check out this amazing sunset! 🌅 #photography #nature #sunset #beautiful",2340,156,89,"2024-01-10T18:30:00Z"
ig_002,"New recipe alert! Delicious pasta dish 🍝 #food #cooking #recipe #italian",1890,234,145,"2024-01-11T12:15:00Z"
ig_003,"Fitness journey update! Day 30 progress 💪 #fitness #workout #health #motivation",3200,289,198,"2024-01-12T07:00:00Z"
ig_004,"Travel vibes ✈️ Exploring new places #travel #adventure #wanderlust #explore",4560,412,267,"2024-01-13T14:20:00Z"
ig_005,"Coffee break ☕ Perfect morning #coffee #morning #lifestyle",890,67,34,"2024-01-14T09:30:00Z"
ig_006,"Art showcase 🎨 New painting finished #art #painting #creative #artist",1780,145,98,"2024-01-15T16:45:00Z"
ig_007,"Pet of the day! Meet my adorable dog 🐕 #pets #dog #cute #animals",5670,523,389,"2024-01-16T11:00:00Z"
ig_008,"Fashion inspiration 👗 Latest outfit #fashion #style #ootd #outfit",2340,198,156,"2024-01-17T13:30:00Z"
ig_009,"Music studio session 🎵 Working on new track #music #studio #producer #beats",1450,112,78,"2024-01-18T20:00:00Z"
ig_010,"Gaming highlights 🎮 Epic win! #gaming #gamer #esports #victory",6780,567,423,"2024-01-19T22:15:00Z"
ig_011,"Book recommendation 📚 Must read! #books #reading #literature #bookworm",1230,89,56,"2024-01-20T10:00:00Z"
ig_012,"Tech review 📱 Latest smartphone unboxing #tech #smartphone #review #gadgets",3450,278,189,"2024-01-21T15:30:00Z"
ig_013,"Yoga session 🧘 Finding inner peace #yoga #wellness #mindfulness #peace",1670,134,87,"2024-01-22T08:00:00Z"
ig_014,"Foodie adventure 🍔 Best burger in town #food #burger #foodie #delicious",2890,245,167,"2024-01-23T19:00:00Z"
ig_015,"Sunrise meditation 🌄 Starting the day right #meditation #sunrise #peace #mindfulness",980,76,45,"2024-01-24T06:30:00Z"
